DATE,품목명,총반입량,전년,평년,서울청과,농협,중앙청과,동화청과,한국청과,대아청과
202211중순,무,3174,3688,3195.0,114,0,2,120,43,2893
202211상순,무,3899,3849,3976.666666666666,247,0,4,113,15,3522
202210하순,무,4721,4951,5331.0,273,0,9,88,17,4336
202210중순,무,5699,5197,5440.666666666667,377,0,7,112,127,5076
202210상순,무,4976,4542,4548.333333333333,327,0,24,90,140,4394
202209하순,무,5187,4555,5427.666666666667,385,0,12,135,85,4570
202209중순,무,4585,6280,6204.0,217,0,0,89,64,4213
202209상순,무,7733,6449,5631.333333333333,407,0,0,177,122,7026
202208하순,무,6129,5363,5412.333333333333,413,0,0,146,144,5427
202208중순,무,5290,4449,4221.333333333333,240,2,1,107,163,4776
202208상순,무,4199,3464,3865.666666666666,245,0,1,91,144,3716
202207하순,무,4200,4135,4228.0,227,18,5,76,149,3724
202207중순,무,4369,3191,4113.0,268,0,0,90,72,3937
202207상순,무,3229,3950,3936.666666666666,167,10,17,114,85,2838
202206하순,무,4165,4075,4000.0,227,64,6,198,176,3494
202206중순,무,3905,3684,3966.333333333334,294,35,18,148,189,3220
202206상순,무,4816,4590,4364.666666666667,195,26,0,149,153,4293
202205하순,무,4556,4661,4974.666666666667,260,3,0,123,60,4113
202205중순,무,4608,4657,4483.333333333333,294,0,0,137,159,4019
202205상순,무,4173,3932,4226.333333333333,283,0,0,136,113,3638
202204하순,무,4264,4410,4171.666666666667,250,0,34,100,161,3717
202204중순,무,4886,4387,4282.666666666667,358,0,20,124,172,4212
202204상순,무,4710,4672,4583.0,334,9,16,94,251,4003
202203하순,무,5683,5042,4857.333333333333,484,8,36,121,391,4641
202203중순,무,4537,4662,4635.666666666667,347,0,20,94,297,3780
202203상순,무,5122,5734,4830.666666666667,377,0,27,90,367,4262
202202하순,무,4318,4049,3644.0,385,4,4,87,340,3500
202202중순,무,3943,2758,4129.333333333333,346,0,16,94,225,3260
202202상순,무,3440,7032,4893.0,294,0,21,60,171,2895
202201하순,무,5849,4919,4378.333333333333,393,0,26,93,225,5112
202201중순,무,5027,5319,4944.0,388,0,34,98,193,4316
202201상순,무,3994,2769,4487.0,332,0,30,76,120,3433
202112하순,무,4256,4565,4114.666666666667,314,2,14,90,184,3652
202112중순,무,3343,2510,0.0,157,0,0,83,62,3045
202112상순,무,3033,3090,0.0,123,16,0,34,101,2759
202111하순,무,2548,3098,2892.666666666666,282,48,2,55,110,2050
202111중순,무,3688,3486,2946.666666666666,282,28,1,98,181,3093
202111상순,무,3849,4038,3970.333333333334,262,28,2,73,46,3439
202110하순,무,4951,6330,5289.666666666667,245,29,0,120,129,4428
202110중순,무,5197,5751,5126.333333333333,339,0,14,77,186,4582
202110상순,무,4542,4483,4241.666666666667,266,0,31,47,63,4134
202109하순,무,4555,8052,5655.666666666667,289,0,10,97,7,4152
202109중순,무,6280,5687,5572.0,348,0,34,166,228,5503
202109상순,무,6449,5213,5631.333333333333,310,0,22,145,188,5785
202108하순,무,5363,4639,5240.333333333333,341,0,0,73,103,4846
202108중순,무,4449,4987,4108.333333333333,320,0,0,78,126,3922
202108상순,무,3464,3512,4009.333333333334,126,0,0,67,69,3203
202107하순,무,4135,4934,4225.333333333333,274,0,1,81,117,3662
202107중순,무,3191,4045,4186.333333333333,176,0,1,45,74,2895
202107상순,무,3950,4547,3829.0,210,0,0,82,123,3537
202106하순,무,4075,3606,3954.0,297,0,0,78,103,3598
202106중순,무,3684,3993,4101.333333333333,277,5,0,76,163,3165
202106상순,무,4590,4276,4364.666666666667,329,0,0,90,171,4001
202105하순,무,4661,4667,5203.333333333333,302,1,1,99,59,4200
202105중순,무,4657,5152,4575.666666666667,330,0,0,84,201,4041
202105상순,무,3932,3968,4320.0,333,0,0,64,223,3315
